id,cache-references,cache-misses,cycles,instructions,branches,branch-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses,dTLB-loads,dTLB-load-misses,label,attack_type,load_level
benign_full-load_331,4348286437,636139392,117785422130,218580935996,26432232410,172916635,38077708765,3124961127,912437321,21774352,37998666152,8345886,0,benign,full-load
benign_full-load_332,3993134021,744370289,122161462443,224349364688,27673025246,158199662,39426634674,3070334677,1015237182,34619652,38841616827,17751666,0,benign,full-load
benign_full-load_333,4044583906,698175243,119179722459,222000994501,27276176895,153457736,38633100063,3184317634,1020151570,29071429,38024663830,10034095,0,benign,full-load
benign_full-load_334,4142296552,644070141,117239623242,215571078445,25968410675,174860974,37335498483,2986349039,712080788,22822456,38471870109,8525497,0,benign,full-load
benign_full-load_335,4028038486,651826754,117251744550,218143543867,26600460405,156202682,37972400019,3305046532,753787112,24678506,38043435722,8570548,0,benign,full-load
benign_full-load_336,3646469656,699708720,121341837794,227673108580,28167424615,167473677,40212080651,3517115250,778634259,25404213,39408680971,10859285,0,benign,full-load
benign_full-load_337,4741697512,663655508,118624452232,221265421377,26820760575,170861009,39087587535,3087190713,1030527635,26103415,39113354269,12017319,0,benign,full-load
benign_full-load_338,4551603500,700394321,120986281278,221325316925,27015385658,174421268,38903975792,2963640757,864261372,26326769,40000216489,12031033,0,benign,full-load
benign_full-load_339,3803814499,590554224,115228998804,212861650913,25873374128,161790294,36494414609,3200360667,744182416,18183840,36882250601,4809523,0,benign,full-load
benign_full-load_340,4647087215,679927483,119423300995,220958858956,26607905384,174581823,38454895134,2918869313,904078390,22495542,39406229550,10410739,0,benign,full-load
benign_full-load_341,4687079716,725579303,120353818695,221356649390,26253079568,183818219,38754810362,2981250836,768774053,27084010,39858048732,16162735,0,benign,full-load
benign_full-load_342,3926214295,752984134,122700006899,225905412872,27785995364,166177914,40068465151,3312158836,923425944,26192603,39661692671,15516520,0,benign,full-load
benign_full-load_343,4526854953,692048521,120419670949,220239808455,27213445719,160161691,38740485467,3009575163,1072128515,29034516,38913170896,13264719,0,benign,full-load
benign_full-load_344,4743820662,711601991,118271452774,219166484001,26759622915,163036295,38591388315,3041431116,1262103958,25980517,38280007133,10319004,0,benign,full-load
benign_full-load_345,4052053139,632651450,119639262426,220358296761,27760291422,171004583,38992630597,3088962728,1032137644,26380804,38430930354,9538299,0,benign,full-load
